Day,target,STOCH_slowk,STOCH_slowd,MACD,MACD_hist,CCI_5,CCI_10,CCI_21,CCI_50,MOM_5,MOM_10,MOM_21,RSI_5,RSI_10,RSI_21,RSI_50
2019-09-25,0.0,7.367007067274192,19.13117770003129,-303.03596921473945,-178.23806133095565,-106.21251618354114,-196.9639645185407,-349.0392244318935,-293.8452462172284,-1694.6484380000002,-1860.7197269999997,-2107.5,4.790283912122959,14.682339580799164,31.069361051784984,44.5198453956355
2019-09-26,0.0,10.65596939882528,12.972661869809569,-405.2810927127375,-224.38654786316297,-92.09637177571354,-148.2541673390516,-281.3529687104654,-335.1956750306227,-1900.7490239999988,-2157.826171999999,-2456.5654300000006,3.6366403516007937,12.366209216537344,28.619799790746182,43.25137632585618
2019-09-27,1.0,11.758826020567296,9.927267495555554,-470.1691341688602,-231.4196714554285,-71.09274263651135,-107.51264285083877,-207.687900632541,-314.0728499152008,-1818.546875,-1989.4267579999996,-2101.457031,13.08370096396407,17.582024921085214,30.691407103254743,43.84089209981523
2019-09-28,0.0,14.984417409913505,12.466404276435327,-516.1223918775722,-221.89834333131245,-47.13101527687507,-81.42825971681128,-158.5147503394721,-278.1551339005315,-1483.4091800000006,-1952.3330079999996,-2271.339844,13.01252932467789,17.530282409178728,30.649720552904014,43.82016023116327
2019-09-29,0.0,19.753989798768966,15.499077743083225,-557.5499761464762,-210.66074208017312,-71.82309281584304,-75.07437146049998,-137.55074621696804,-260.2281954804784,-516.3808589999999,-2162.2294919999995,-2337.0908200000003,11.193609937003796,16.25969265127675,29.639544896476234,43.320603973359056
2019-09-30,1.0,36.841925188755,23.86011079914579,-568.522262452354,-177.30642270884073,-46.59033234830804,-62.76941060717391,-114.35360326450034,-228.94570416422778,-193.125,-1887.7734380000002,-2041.1064450000013,28.02470898490799,24.407147533550773,32.75407787679101,44.189499549119574
2019-10-01,1.0,56.34015817898921,37.64535772217103,-566.698501769466,-140.38612962076223,149.53016114140516,-34.17239353065204,-85.31784621666066,-184.4688243511636,224.30859400000008,-1676.4404299999987,-1772.699219,32.20809224036987,26.477464799180773,33.55846439016753,44.415983663861844
2019-10-02,1.0,76.25667648131133,56.47958661635181,-554.8416194478959,-102.82339783935373,75.90435176622887,-25.852468256843302,-77.20631978198703,-170.64409446556968,141.19628899999952,-1677.3505860000005,-1785.330077999999,36.83073631676085,28.663982146569072,34.38850334471892,44.64685417572764
2019-10-03,0.0,75.17161096351435,69.2561485412716,-549.842717441561,-78.25959666641506,19.43156689292678,-19.972134610764105,-73.64686078418353,-162.48946179545047,14.077149000000645,-1469.332031,-2150.1347650000007,29.995372318977044,26.337256122008522,33.22336756294287,44.14661847240591
2019-10-04,0.0,68.30751358632732,73.2452670103843,-543.9720839899692,-57.91117057185858,-55.2649154739292,-31.911480132973793,-71.38990226372121,-155.3231946006987,101.75390600000082,-414.62695299999905,-2154.607421999999,27.4118998965239,25.40633751471387,32.75003351293939,43.94251701310189
2019-10-05,0.0,46.48568082882978,63.32160179289045,-537.5161822374121,-41.16421505544116,-111.49094240321547,-69.08435917173539,-69.61693749155353,-148.52108722002583,-142.36767599999985,-335.49267599999985,-2206.548340000001,24.73037143222873,24.439650571092404,32.26393651834867,43.73471913003811
2019-10-06,0.0,27.17772267441426,47.323639029857084,-539.3629475282869,-34.4087842770528,-125.42980476125153,-139.76579082266332,-72.44406112188966,-146.7071294807957,-355.12060500000007,-130.81201099999998,-2359.557128999999,18.092295492958048,21.688434260104856,30.82260119438372,43.11054058100163
2019-10-07,1.0,30.706283746190238,34.78989574981139,-514.1245563171124,-7.336314452702595,-10.510219021304662,-38.80033784853914,-59.227061900354734,-127.19292892199157,-147.41894500000126,-6.222656000001734,-2031.1708980000003,46.42554084104382,34.58518460127637,35.58515482109843,44.38712260428717
2019-10-08,0.0,49.644246650791764,35.84275102379872,-489.83526806542613,13.562379039186908,109.37244566303642,37.72899046753794,-47.57137562653579,-112.02333847482883,-31.208984999999302,-17.131835999998657,-2012.4892579999996,45.1486826292407,34.17615839836728,35.41769859532095,44.320746170428315
2019-10-09,1.0,79.35653536060383,53.23568858586191,-435.95010507546795,53.958033623316055,144.35866962084933,152.21671032138545,-23.971409980656194,-89.31635291482115,389.8007809999999,491.55468700000074,-1602.5078129999984,68.6412848300969,48.828940241022316,41.69541373727029,46.11257064026111
2019-10-10,0.0,88.50600341144725,72.50226180761423,-389.5035084528463,80.32370419675016,101.70531337638295,155.19270609453184,-7.930098247779493,-77.25664177378883,434.97314499999993,292.6054690000001,-1679.941406,67.7256703796114,48.52584944655532,41.588224047876835,46.07436384784068
2019-10-11,0.0,80.27975548075996,82.7140980842703,-369.7919478003332,80.0282118794106,36.670882750286324,82.87146639985777,-13.685414731036689,-81.27779685663532,333.60107400000015,-21.519530999999915,-1859.8847659999992,45.874673017228496,40.53882320746848,38.610907133058795,44.98781048004814
